x,y,comfort
76.27145919816797,10.038673300035653,0.63601625
76.28044235100917,10.038673300035653,0.66381764
76.28942550385037,10.038673300035653,0.6297003
76.29840865669156,10.038673300035653,0.56672984
76.30739180953275,10.038673300035653,0.5122422
76.31637496237394,10.038673300035653,0.5415948
76.32535811521514,10.038673300035653,0.63033587
76.33434126805633,10.038673300035653,0.69946563
76.34332442089753,10.038673300035653,0.82173055
76.28942550385037,10.029690147194458,0.613804
76.29840865669156,10.029690147194458,0.47696593
76.30739180953275,10.029690147194458,0.3973642
76.31637496237394,10.029690147194458,0.47962707
76.32535811521514,10.029690147194458,0.64952964
76.33434126805633,10.029690147194458,0.70669496
76.28942550385037,10.020706994353262,0.4694193
76.29840865669156,10.020706994353262,0.39900267
76.30739180953275,10.020706994353262,0.40211907
76.31637496237394,10.020706994353262,0.53481764
76.32535811521514,10.020706994353262,0.6509527
76.33434126805633,10.020706994353262,0.580133
76.28942550385037,10.011723841512067,0.3813858
76.29840865669156,10.011723841512067,0.36585456
76.30739180953275,10.011723841512067,0.4735787
76.31637496237394,10.011723841512067,0.56978714
76.32535811521514,10.011723841512067,0.577212
76.33434126805633,10.011723841512067,0.5692415
76.29840865669156,10.00274068867087,0.3505181
76.30739180953275,10.00274068867087,0.43754494
76.31637496237394,10.00274068867087,0.5091559
76.24450973964439,9.993757535829676,0.5182739
76.31637496237394,9.957824924464896,0.7654
76.32535811521514,9.957824924464896,0.77755594
76.31637496237394,9.9488417716237,0.7072006
76.32535811521514,9.9488417716237,0.6933067
76.32535811521514,9.939858618782505,0.6182221
76.33434126805633,9.939858618782505,0.7220924
76.27145919816797,9.930875465941309,0.4383145
76.32535811521514,9.930875465941309,0.5005301
76.27145919816797,9.921892313100114,0.5253312
76.32535811521514,9.921892313100114,0.6613102
